train_dataset,feature_set,model,leakage,micro_roc_mean,micro_auprc_mean,fscore_mean,hamming_mean,label_ranking_mean,accuracy_mean
v1,kmer_matrix_k4,ipcarf,False,0.6725649468875737,0.1006477755311225,0.2349646423241168,0.157037037037037,0.5008647675767843,0.0141269841269841
v1,kmer_matrix_k4,rf,False,0.6681368789492661,0.1071240314310551,0.2300363066782434,0.1431728395061728,0.4946493427451753,0.0113492063492063
v1,kmer_matrix_k4,rflda,False,0.6507544964715846,0.096426208935021,0.2248932526956729,0.1299559082892416,0.5607729231685428,0.0056349206349206
v1,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,ipcarf,False,0.6667573001988789,0.1007111919783155,0.2393269528161966,0.1509982363315696,0.4984624150232542,0.0169841269841269
v1,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rf,False,0.6697348351032446,0.1095189025730947,0.2410305861727181,0.1319841269841269,0.5076406234786397,0.0312698412698412
v1,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rflda,False,0.6525265841814936,0.1025719562795013,0.2217951406042408,0.1371728395061728,0.5318986318252735,0.0084920634920634
v1,psednc_matrix,ipcarf,False,0.5889956243753325,0.081579127607863,0.2174692959745353,0.1005361552028218,0.6101898105769282,0.0311111111111111
v1,psednc_matrix,rf,False,0.589055367397103,0.081622569444407,0.2176105389123885,0.1004726631393298,0.6101898105769282,0.0311111111111111
v1,psednc_matrix,rflda,False,0.5889413254209279,0.0815021589188969,0.217124677480069,0.1007901234567901,0.6101898105769282,0.0311111111111111
v1,rc_kmer_matrix_k4,ipcarf,False,0.6658544544891587,0.0954140584877955,0.2375924077733526,0.1442222222222222,0.509515178522624,0.0084126984126984
v1,rc_kmer_matrix_k4,rf,False,0.6656639920204007,0.0996491924568896,0.2267612537758559,0.1598148148148148,0.518673352651392,0.0028571428571428
v1,rc_kmer_matrix_k4,rflda,False,0.6702544163857149,0.1116733091723873,0.2437053830467765,0.1352363315696649,0.5138397592511477,0.017063492063492
v2,kmer_matrix_k4,ipcarf,False,0.8277769021700078,0.1175602381640053,0.1215846408389351,0.1343020261877174,0.4527663957251004,0.0092653054399251
v2,kmer_matrix_k4,rf,False,0.8192612603700032,0.1137242983222406,0.122245224886087,0.1243760349776604,0.4583789223982644,0.0080732875431017
v2,kmer_matrix_k4,rflda,False,0.8191633071839342,0.1142101478919961,0.1259736832215453,0.1191234389830494,0.456475270121418,0.0078198343291222
v2,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,ipcarf,False,0.8278811216143576,0.1185094523283873,0.1207846606817421,0.1307646197835894,0.4617014701587407,0.0077659556820614
v2,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rf,False,0.8180633063370155,0.1144812309921055,0.1277799841744245,0.1179098158067685,0.4532033128898883,0.0065890681274649
v2,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rflda,False,0.8186448327716528,0.1151647220467859,0.1279623427466212,0.1171767250607421,0.4559937275667707,0.0080603559512228
v2,psednc_matrix,ipcarf,False,0.6272658510749339,0.0410474036662598,0.1366454591476662,0.0377491180995402,0.7245842409540126,0.0237640021199383
v2,psednc_matrix,rf,False,0.6280807494398776,0.0414308679403498,0.1396534612158623,0.0376508322154389,0.720330884099688,0.0257373105830166
v2,psednc_matrix,rflda,False,0.6294543303913317,0.0415077646385113,0.139338561322287,0.0379386236243042,0.7203946818267808,0.0262134317500113
v2,rc_kmer_matrix_k4,ipcarf,False,0.824429436204745,0.1139202314150808,0.1194678001707922,0.1333530437785802,0.4536108784128247,0.0075806826387321
v2,rc_kmer_matrix_k4,rf,False,0.8151894575658115,0.1100358558803278,0.1297286033237762,0.1146766699046629,0.446707575829565,0.0070910887667853
v2,rc_kmer_matrix_k4,rflda,False,0.8119239366551072,0.1097115926348617,0.1289510797316627,0.1116298797783044,0.4636187829032311,0.0075883528476407
