experiment,train_dataset,test_dataset,evaluation,feature_set,model,n_labels,n_train_samples,n_test_samples,label_match,leakage,performance_csv,hamming_mean,hamming_std,label_ranking_mean,label_ranking_std,micro_roc_mean,micro_roc_std,micro_auprc_mean,micro_auprc_std,precision_mean,precision_std,recall_mean,recall_std,fscore_mean,fscore_std,accuracy_mean,accuracy_std
v1_to_v2_transfer,v1,v2,cross_version_transfer,rc_kmer_matrix_k4,rflda,40,353,4114,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer/rc_kmer_matrix_k4_rflda_v1_to_v2_transfer_performance.csv,0.0969934080576495,0.0205897667567979,0.2351958466823089,0.0317987535648432,0.7098700730903127,0.0178940834488474,0.0392273313160392,0.0044153850442497,0.0689499059555728,0.0124557874219105,0.4360720044833284,0.0879917586226649,0.1177845138009798,0.0169107795888132,0.0619612408606553,0.0273487605682366
v2_to_v1_transfer,v2,v1,cross_version_transfer,kmer_matrix_k4,ipcarf,40,4114,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_ipcarf_v2_to_v1_transfer_performance.csv,0.0440535714285714,0.0161693106138024,0.2085693775345927,0.0537252734540205,0.6787768568911556,0.0472416643833516,0.0725043380952113,0.0275632225516794,0.1960763280500122,0.0695494470901424,0.4247537710356046,0.1359093235666769,0.2552116873068787,0.0706988674062007,0.2584920634920634,0.161066554946075
v2_to_v1_transfer,v2,v1,cross_version_transfer,kmer_matrix_k4,rf,40,4114,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_rf_v2_to_v1_transfer_performance.csv,0.0473988095238095,0.016847863411816,0.2153074179988433,0.0550852389827622,0.6655995439654087,0.0476902508859361,0.0729711973320611,0.0258759755063486,0.1664501352004728,0.0540185285020932,0.4005183658069906,0.1158061459171516,0.2245580196259248,0.056712139714084,0.1897619047619047,0.1073199301030768
v2_to_v1_transfer,v2,v1,cross_version_transfer,kmer_matrix_k4,rflda,40,4114,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_rflda_v2_to_v1_transfer_performance.csv,0.0490833333333333,0.0079709312994024,0.2089427078090833,0.0447430367535027,0.6609672421573857,0.0536647142925438,0.0627463353824635,0.0215198661875914,0.1425392012280082,0.0502374108786443,0.3878092633016232,0.1360400240294159,0.2064716699179781,0.0712176219832881,0.1699206349206349,0.0307286378017956
v2_to_v1_transfer,v2,v1,cross_version_transfer,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,ipcarf,40,4114,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_ipcarf_v2_to_v1_transfer_performance.csv,0.0408888888888888,0.0146014863801584,0.2330877453896397,0.037481142700058,0.6621095658959942,0.0559262543453097,0.0704265916969034,0.0307741178000439,0.1941355906623103,0.1215475405922015,0.3624800923782248,0.1190629832023162,0.2411514153382011,0.10388984710622,0.2557142857142856,0.1199630412557206
v2_to_v1_transfer,v2,v1,cross_version_transfer,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rf,40,4114,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rf_v2_to_v1_transfer_performance.csv,0.0429007936507936,0.0147292126047408,0.2150504825633767,0.0461694765178798,0.6794628673367645,0.0431958772182978,0.0634720784952653,0.0178443474311478,0.1839902467054245,0.0677044077237006,0.3941825850060145,0.1282219597307157,0.2423498571298568,0.0766661193276458,0.2411904761904761,0.173336113269178
v2_to_v1_transfer,v2,v1,cross_version_transfer,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rflda,40,4114,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rflda_v2_to_v1_transfer_performance.csv,0.0490833333333333,0.0079709312994024,0.2089427078090833,0.0447430367535027,0.6609615185831281,0.0536618280679064,0.0627416953350355,0.0215111173512965,0.1425392012280082,0.0502374108786443,0.3878092633016232,0.1360400240294159,0.2064716699179781,0.0712176219832881,0.1699206349206349,0.0307286378017956
v2_to_v1_transfer,v2,v1,cross_version_transfer,psednc_matrix,ipcarf,40,4114,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_ipcarf_v2_to_v1_transfer_performance.csv,0.0301706349206349,0.0073302319422742,0.2754343179477246,0.0331797959966223,0.5548781614593491,0.0366313985450849,0.0320349106329166,0.0091202749450075,0.1291346594967876,0.067687160296497,0.1381573312558032,0.0859078809004132,0.1315671443429312,0.0737742488326598,0.4128571428571428,0.0975685764480721
v2_to_v1_transfer,v2,v1,cross_version_transfer,psednc_matrix,rf,40,4114,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_rf_v2_to_v1_transfer_performance.csv,0.0302480158730158,0.0073212363398001,0.2746284571418638,0.0343061354995961,0.5565655987239838,0.0389780192734921,0.0328033449795884,0.0094773866609367,0.1301772285845392,0.0675185633900634,0.1427027858012577,0.0937522134048515,0.1331722153812507,0.0752449932566034,0.4127777777777778,0.1059459602120853
v2_to_v1_transfer,v2,v1,cross_version_transfer,psednc_matrix,rflda,40,4114,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_rflda_v2_to_v1_transfer_performance.csv,0.0306646825396825,0.007521747936444,0.2746996822130889,0.0342867748894196,0.5568187756054366,0.0394604423489175,0.0327974018480734,0.009472212943078,0.127002625409936,0.0675940230929985,0.1427027858012577,0.0937522134048515,0.131978581428996,0.0756114781952071,0.396031746031746,0.1037699550820341
