train_dataset,model,hamming_mean,label_ranking_mean,micro_roc_mean,micro_auprc_mean,precision_mean,recall_mean,fscore_mean,accuracy_mean
v1,ipcarf,0.13819841269841265,0.5297580429248977,0.648543081487736,0.09458803840127412,0.16405347536946752,0.4404273142921648,0.23233832472205032,0.017658730158730124
v1,rf,0.13386111111111107,0.5327882823630338,0.6481477683675037,0.09947867397636159,0.16345195895297002,0.42879852792375617,0.22885967138480148,0.01914682539682535
v1,rflda,0.12578880070546736,0.554175281205473,0.6406192056149302,0.09804340832645163,0.16612376975077553,0.3938687551519029,0.2268796134566898,0.015575396825396775
v2,ipcarf,0.1090422019623568,0.5231657463126697,0.776838327766011,0.0977593313934333,0.07773552375805265,0.4693408955832671,0.12462064020978389,0.012093986470164225
v2,rf,0.09865333822613268,0.5196551738043514,0.7701486934281769,0.09491806328375593,0.08150110846236905,0.45051512372941643,0.1298518184000375,0.011872688755092124
v2,rflda,0.09646716686160003,0.5241206156045501,0.7697966017505065,0.09514855680303876,0.08205762579788214,0.44207053820780573,0.13055641675552904,0.01242049371949925
