folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.1392768945824973,0.4571679141879011,0.8016606019722996,0.10526669058456671,0.06063522617901829,0.532608695652174,0.1088754474756203,0.011961722488038277
fold2,0.13549573055028463,0.447327934938766,0.8263856929222355,0.13307799541141985,0.06615849273694809,0.559610705596107,0.11832797427652733,0.004901960784313725
fold3,0.08676785289688516,0.48465430449855895,0.8029546529618933,0.11902232946295588,0.08553546592489569,0.45952677459526775,0.14422513191323041,0.019656019656019656
fold4,0.11724260917809305,0.42804474044692814,0.8251190699598343,0.13567457345651693,0.07574496420842351,0.5548780487804879,0.13329427274058883,0.004914004914004914
fold5,0.12217642862804153,0.41407590237346287,0.8360663921716698,0.11891848310275709,0.07526881720430108,0.5994962216624685,0.13374543411070525,0.009828009828009828
fold6,0.0839938178647856,0.44844177835091803,0.8036924520891571,0.10915980339460485,0.0872289156626506,0.44526445264452646,0.1458795083618779,0.012285012285012284
fold7,0.10754636122798816,0.4852938495213575,0.8070371408760612,0.09076303138330877,0.07007644703312704,0.48306148055207027,0.12239707518677476,0.0
fold8,0.11470634857731632,0.4638398001839475,0.8385760267539354,0.12926206178166458,0.07994579945799458,0.5693606755126659,0.14020496064161592,0.007371007371007371
fold9,0.1587144329079813,0.40147961429591744,0.8291034373742081,0.11073666490956417,0.06639255048978111,0.6543504171632897,0.12055335968379446,0.007371007371007371
fold10,0.10584677419354839,0.5296114368699487,0.8158528606352334,0.09976558698050107,0.06408879341210168,0.4475,0.11212026307547761,0.0023148148148148147
mean(std),0.11717672506074214(0.02197135702482654),0.4559937275667707(0.03578351422638468),0.8186448327716528(0.013463786409090427),0.11516472204678599(0.013983775759826664),0.07310754723092418(0.008670177507120713),0.5305657472159058(0.06670636606374564),0.12796234274662127(0.0126143798877288),0.008060355951222824(0.0053801335280501215)
