folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.11428571428571428,0.5500538833543759,0.5973983418870904,0.08436479472656243,0.16312056737588654,0.27058823529411763,0.20353982300884957,0.05714285714285714
fold2,0.14476190476190476,0.5151526803658586,0.6782625079218265,0.09451483938029254,0.16517857142857142,0.47435897435897434,0.24503311258278146,0.02857142857142857
fold3,0.11174603174603175,0.5936315292208338,0.5820542289836224,0.07492188765721264,0.13445378151260504,0.1797752808988764,0.15384615384615385,0.02857142857142857
fold4,0.11301587301587301,0.5267481127215345,0.6062302598064188,0.06337905505781136,0.14465408805031446,0.35384615384615387,0.20535714285714285,0.02857142857142857
fold5,0.14814814814814814,0.46482069239571455,0.728298611111111,0.2336932525048726,0.2,0.6190476190476191,0.3023255813953488,0.027777777777777776
fold6,0.11234567901234568,0.40900896612790333,0.7225679552229043,0.1342621595802751,0.21608040201005024,0.6231884057971014,0.3208955223880597,0.027777777777777776
fold7,0.1307936507936508,0.49590648167343726,0.7257292591549906,0.09269280060443016,0.1689497716894977,0.6065573770491803,0.2642857142857143,0.0
fold8,0.18950617283950616,0.4311471539725854,0.7268033522897337,0.10704295257292873,0.16224188790560473,0.7051282051282052,0.2637889688249401,0.0
fold9,0.1580952380952381,0.5223126544486717,0.7219378257632167,0.1351014004225366,0.18045112781954886,0.6075949367088608,0.2782608695652174,0.02857142857142857
fold10,0.09714285714285714,0.5676240805054817,0.6080660088915332,0.07521588322402498,0.15384615384615385,0.19753086419753085,0.17297297297297298,0.08571428571428572
mean(std),0.13198412698412698(0.026643445711733108),0.5076406234786397(0.05565862244778267),0.6697348351032446(0.060139380782022335),0.10951890257309471(0.047260551563135106),0.16889763516382325(0.023279255005556877),0.46376160523266197(0.18705716973218295),0.24103058617271814(0.05244755427550365),0.03126984126984127(0.02375443362099103)
