folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.09592529711375213,0.5036532805863388,0.7973059184142799,0.10743755785811317,0.07558377714051619,0.44565217391304346,0.12924693520140104,0.019138755980861243
fold2,0.15664531941808982,0.42525787107164736,0.8288408675039,0.12221642472492877,0.06062105653841395,0.5961070559610706,0.11005053340819765,0.004901960784313725
fold3,0.11399302528334787,0.4072170483567945,0.8311374001576439,0.12867192757260051,0.08107650643195667,0.5965130759651308,0.1427507077931754,0.009828009828009828
fold4,0.15483078386304192,0.4371290166343282,0.8354243999709171,0.1354313196202882,0.06111947791164658,0.5939024390243902,0.1108329540282203,0.004914004914004914
fold5,0.13356978679559325,0.44623616023181595,0.8416545017088242,0.1239674301091597,0.06887052341597796,0.5982367758186398,0.12352099856975686,0.007371007371007371
fold6,0.1015693112467306,0.43856869811777766,0.8126475881615124,0.11084818770633935,0.08328502415458937,0.5301353013530136,0.14395457581830326,0.022113022113022112
fold7,0.1241623811750039,0.4825361620427287,0.8304012854353532,0.09956800990682249,0.06800929512006197,0.5508155583437893,0.12107004964147822,0.0024154589371980675
fold8,0.15211619243877308,0.4322255040002898,0.8463375292166742,0.13392571409097315,0.06734900176901693,0.6429433051869723,0.12192611231842616,0.009828009828009828
fold9,0.1478164381390188,0.4386955500164299,0.8188717734937694,0.10474423216228573,0.06343135962020309,0.5733015494636472,0.11422464972690573,0.009828009828009828
fold10,0.16239172640382318,0.5161446661928536,0.8351477576372044,0.10879157788854268,0.05357748389284503,0.5925,0.0982688918834871,0.0023148148148148147
mean(std),0.13430202618771747(0.02295577445215117),0.4527663957251004(0.03381219355327585),0.8277769021700078(0.0138053940359858),0.11756023816400536(0.01218928277874146),0.06829235059952277(0.008905837992970744),0.5720107235029698(0.05096099334870584),0.12158464083893517(0.013629695691193022),0.00926530543992517(0.006326843075710787)
