folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.13364330915264702,0.4991596039056734,0.8203988192457767,0.11664729592551835,0.06229367015932252,0.5241545893719807,0.11135343168697884,0.007177033492822967
fold2,0.15334440227703985,0.4423880987301637,0.8347348410962937,0.1305290412494988,0.0610126582278481,0.5863746958637469,0.11052510891997248,0.007352941176470588
fold3,0.12392010779107553,0.4829048071037908,0.8227337482427407,0.12741010229382285,0.06881822496440437,0.5417185554171855,0.12212240314430095,0.007371007371007371
fold4,0.12615915035269873,0.42351347907815384,0.839860717008717,0.13720135383369955,0.07046616075576893,0.5548780487804879,0.1250515322248179,0.012285012285012284
fold5,0.12883411270508044,0.4351095094708333,0.8388086799484274,0.12391917985279349,0.07056876316581402,0.5906801007556675,0.1260752688172043,0.009828009828009828
fold6,0.1298050249663153,0.40037956649839085,0.8232848598750815,0.11071007033535506,0.07191883019994032,0.5928659286592866,0.12827677977378577,0.007371007371007371
fold7,0.10100124668848372,0.5312286241133298,0.8211712618772642,0.09402071276972815,0.07198595396020288,0.4629861982434128,0.12459902076650346,0.0024154589371980675
fold8,0.16097329000554808,0.45537945556819676,0.837401673374891,0.12081763592792709,0.062282491299651986,0.6260554885404102,0.11329404060248854,0.004914004914004914
fold9,0.14230799714670683,0.4803375854451316,0.8247198863961535,0.1131977189734559,0.06525017135023989,0.567342073897497,0.11703958691910499,0.007371007371007371
fold10,0.10765755675029869,0.466613971673743,0.8156967290782292,0.11064141212207465,0.0736480686695279,0.53625,0.12950943396226416,0.011574074074074073
mean(std),0.13076461978358941(0.017482696761004637),0.4617014701587407(0.03660185920344042),0.8278811216143576(0.008412000856677919),0.11850945232838739(0.011669571765824885),0.0678244992752721(0.004447744681987691),0.5583305679529675(0.04327528776038311),0.12078466068174214(0.006775917588118692),0.007765955682061483(0.0027734907066963915)
