folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.11645315635128878,0.43333163754160875,0.806092609673126,0.1082040554085967,0.07311475409836066,0.538647342995169,0.1287528868360277,0.004784688995215311
fold2,0.12387333965844402,0.4277677938650449,0.8231032823983022,0.12968361410180726,0.07173194903256253,0.5547445255474452,0.1270371918094442,0.004901960784313725
fold3,0.09744788777046842,0.45599243521272637,0.8145462393804366,0.1204886764929857,0.0839231547017189,0.5168119551681195,0.14439805149617257,0.0171990171990172
fold4,0.11117936117936118,0.4186296083229134,0.8188910171509869,0.13122469557078098,0.07624270298956307,0.525609756097561,0.13316854626911787,0.012285012285012284
fold5,0.1269913608623286,0.4637807885757651,0.8281499026042746,0.11415842238186041,0.06999540511563793,0.575566750629723,0.124812235422641,0.012285012285012284
fold6,0.10347150669731314,0.43429431269923313,0.8030147501152789,0.10867252937832417,0.07515899017151667,0.4797047970479705,0.1299566811062979,0.012285012285012284
fold7,0.11890291413433068,0.5054432767718089,0.8134043368820378,0.08936716954277155,0.06435724839927762,0.4918444165621079,0.11382113821138211,0.0
fold8,0.1366014107949592,0.4664890982210306,0.8435753790133157,0.12707499640190728,0.06991916040277975,0.594692400482509,0.1251269035532995,0.002457002457002457
fold9,0.158773876515812,0.40151956555538093,0.829102704883105,0.11073302624106468,0.06636847195357834,0.6543504171632897,0.12051366480079026,0.007371007371007371
fold10,0.09753957586618876,0.5575041844486676,0.8117528497384779,0.10249429339986263,0.06489675516224189,0.4125,0.11214953271028037,0.004629629629629629
mean(std),0.11912343898304947(0.01792502583180645),0.456475270121418(0.043660912798039915),0.8191633071839342(0.011541725537525676),0.11421014789199616(0.012518440293435072),0.07157085920272374(0.005643973926742405),0.5344472361693894(0.06340240960506804),0.12597368322154534(0.008869114846042499),0.007819834329122255(0.0051555526701625165)
