folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.17904761904761904,0.4364038716329557,0.5529332806948283,0.06989386051512304,0.1444043321299639,0.47058823529411764,0.22099447513812154,0.14285714285714285
fold2,0.10539682539682539,0.550035967477828,0.49397084767826255,0.055065095948748116,0.18571428571428572,0.3333333333333333,0.23853211009174313,0.02857142857142857
fold3,0.12761904761904763,0.5482464395507874,0.3510101773859392,0.044625389601499116,0.09420289855072464,0.14606741573033707,0.1145374449339207,0.0
fold4,0.12063492063492064,0.6114873498594429,0.4393937850229241,0.03595558109312313,0.0967741935483871,0.23076923076923078,0.13636363636363635,0.05714285714285714
fold5,0.22962962962962963,0.46027931104526754,0.6114986359126984,0.11834420126599474,0.14,0.6666666666666666,0.23140495867768596,0.05555555555555555
fold6,0.15123456790123457,0.5110051023509032,0.6116624150851717,0.06786745661814489,0.16412213740458015,0.6231884057971014,0.2598187311178248,0.08333333333333333
fold7,0.14476190476190476,0.5181308815494251,0.6333131212508392,0.05956601680989189,0.16194331983805668,0.6557377049180327,0.2597402597402597,0.02857142857142857
fold8,0.1993827160493827,0.6096270554963287,0.6113148092720077,0.06819612545211064,0.14076246334310852,0.6153846153846154,0.22911694510739858,0.1111111111111111
fold9,0.23174603174603176,0.5586734764377915,0.5877191498003114,0.07166813325050667,0.12760416666666666,0.620253164556962,0.21166306695464362,0.0
fold10,0.17777777777777778,0.6113784252690267,0.4889269010197168,0.051591067431964455,0.1067193675889328,0.3333333333333333,0.16167664670658682,0.05714285714285714
