,ID,Ref,MESH
49,NR_002819,"[24583225, 24373479, 24006935, 22492512, 22996375, 24499465, 20864030, 20711585, 23660942, 24757675, 23463798, 20213048, 24757675, 22996375, 21503572, 23485710, 24436191, 16441420, 24658096, 24183851, 17006932, 17006932, 21678027, 16878148, 22493738, 24757675, 24373479, 24817925, 22996375, 24468535, 19690017, 20937273, 24757675, 24667321, 22996375, 23243023, 24499465, 24817925, 20149803, 21550244, 12970751, 21903344, 22088988, 12970751, 22817756, 20951849, 22996375, 22996375, 24373479, 22996375, 22928560, 23791884, 24469926, 24721780, 22996375, 24499465, 25772239, 25600645, 25369863, 25035150, 27184657, 27250026, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27633334, 27470562, 27470544, 27191888, 27191262, 27725873, 27709553, 27696303, 27658300, 27655020, 27649655, 27587362, 27586393, 27584791, 27565324, 27564100, 27527868, 27524242, 27510783, 27486823, 27466303, 27458156, 27446438, 27431200, 27420766, 27371730, 27362960, 27353727, 27338628, 27313681, 27294002, 27259812, 27227769, 27197265, 27172249, 27165481, 27134488, 27060060, 27043545, 27021022, 27019196, 27015363, 26998053, 26998053, 26998053, 26964565, 26946307, 26938295, 26935028, 26926567, 26918449, 26917489, 26909935, 26887056, 26884862, 26871474, 26854446, 26848980, 26848616, 26798987, 26729200, 26722461, 26701265, 26697839, 26676637, 26649728, 26619802, 26617828, 26614531, 26575981, 26522444, 26516927, 26493997, 26482776, 26476026, 26461224, 26406400, 26400521, 26352013, 26311052, 26282502, 26275461, 26265046, 26254614, 26254614, 26254614, 26242259, 26241674, 26191181, 26139386, 26137228, 25811929, 25787249, 25773124, 25772239, 25613496, 25613066, 25600645, 25592968, 27600237, 25546229, 25538231, 25526029, 25481511, 25480417, 25446987, 25431257, 25369863, 25356875, 25269958, 25217850, 25187517, 25085246, 25036876, 25031737, 25025966, 24932303, 24926466, 24918046, 24892958, 24876753, 24857172, 24815433, 24757675, 24742640, 24658096, 24525122, 24512851, 24449823, 24436191, 24396870, 24313945, 24244343, 23845456, 23726266, 23688988, 23243023, 23153939, 22722759]",Pituitary Neoplasms
49,NR_002819,"[24583225, 24373479, 24006935, 22492512, 22996375, 24499465, 20864030, 20711585, 23660942, 24757675, 23463798, 20213048, 24757675, 22996375, 21503572, 23485710, 24436191, 16441420, 24658096, 24183851, 17006932, 17006932, 21678027, 16878148, 22493738, 24757675, 24373479, 24817925, 22996375, 24468535, 19690017, 20937273, 24757675, 24667321, 22996375, 23243023, 24499465, 24817925, 20149803, 21550244, 12970751, 21903344, 22088988, 12970751, 22817756, 20951849, 22996375, 22996375, 24373479, 22996375, 22928560, 23791884, 24469926, 24721780, 22996375, 24499465, 25772239, 25600645, 25369863, 25035150, 27184657, 27250026, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27633334, 27470562, 27470544, 27191888, 27191262, 27725873, 27709553, 27696303, 27658300, 27655020, 27649655, 27587362, 27586393, 27584791, 27565324, 27564100, 27527868, 27524242, 27510783, 27486823, 27466303, 27458156, 27446438, 27431200, 27420766, 27371730, 27362960, 27353727, 27338628, 27313681, 27294002, 27259812, 27227769, 27197265, 27172249, 27165481, 27134488, 27060060, 27043545, 27021022, 27019196, 27015363, 26998053, 26998053, 26998053, 26964565, 26946307, 26938295, 26935028, 26926567, 26918449, 26917489, 26909935, 26887056, 26884862, 26871474, 26854446, 26848980, 26848616, 26798987, 26729200, 26722461, 26701265, 26697839, 26676637, 26649728, 26619802, 26617828, 26614531, 26575981, 26522444, 26516927, 26493997, 26482776, 26476026, 26461224, 26406400, 26400521, 26352013, 26311052, 26282502, 26275461, 26265046, 26254614, 26254614, 26254614, 26242259, 26241674, 26191181, 26139386, 26137228, 25811929, 25787249, 25773124, 25772239, 25613496, 25613066, 25600645, 25592968, 27600237, 25546229, 25538231, 25526029, 25481511, 25480417, 25446987, 25431257, 25369863, 25356875, 25269958, 25217850, 25187517, 25085246, 25036876, 25031737, 25025966, 24932303, 24926466, 24918046, 24892958, 24876753, 24857172, 24815433, 24757675, 24742640, 24658096, 24525122, 24512851, 24449823, 24436191, 24396870, 24313945, 24244343, 23845456, 23726266, 23688988, 23243023, 23153939, 22722759]",Neoplasms
49,NR_002819,"[24583225, 24373479, 24006935, 22492512, 22996375, 24499465, 20864030, 20711585, 23660942, 24757675, 23463798, 20213048, 24757675, 22996375, 21503572, 23485710, 24436191, 16441420, 24658096, 24183851, 17006932, 17006932, 21678027, 16878148, 22493738, 24757675, 24373479, 24817925, 22996375, 24468535, 19690017, 20937273, 24757675, 24667321, 22996375, 23243023, 24499465, 24817925, 20149803, 21550244, 12970751, 21903344, 22088988, 12970751, 22817756, 20951849, 22996375, 22996375, 24373479, 22996375, 22928560, 23791884, 24469926, 24721780, 22996375, 24499465, 25772239, 25600645, 25369863, 25035150, 27184657, 27250026, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27633334, 27470562, 27470544, 27191888, 27191262, 27725873, 27709553, 27696303, 27658300, 27655020, 27649655, 27587362, 27586393, 27584791, 27565324, 27564100, 27527868, 27524242, 27510783, 27486823, 27466303, 27458156, 27446438, 27431200, 27420766, 27371730, 27362960, 27353727, 27338628, 27313681, 27294002, 27259812, 27227769, 27197265, 27172249, 27165481, 27134488, 27060060, 27043545, 27021022, 27019196, 27015363, 26998053, 26998053, 26998053, 26964565, 26946307, 26938295, 26935028, 26926567, 26918449, 26917489, 26909935, 26887056, 26884862, 26871474, 26854446, 26848980, 26848616, 26798987, 26729200, 26722461, 26701265, 26697839, 26676637, 26649728, 26619802, 26617828, 26614531, 26575981, 26522444, 26516927, 26493997, 26482776, 26476026, 26461224, 26406400, 26400521, 26352013, 26311052, 26282502, 26275461, 26265046, 26254614, 26254614, 26254614, 26242259, 26241674, 26191181, 26139386, 26137228, 25811929, 25787249, 25773124, 25772239, 25613496, 25613066, 25600645, 25592968, 27600237, 25546229, 25538231, 25526029, 25481511, 25480417, 25446987, 25431257, 25369863, 25356875, 25269958, 25217850, 25187517, 25085246, 25036876, 25031737, 25025966, 24932303, 24926466, 24918046, 24892958, 24876753, 24857172, 24815433, 24757675, 24742640, 24658096, 24525122, 24512851, 24449823, 24436191, 24396870, 24313945, 24244343, 23845456, 23726266, 23688988, 23243023, 23153939, 22722759]",Neoplasms
49,NR_002819,"[24583225, 24373479, 24006935, 22492512, 22996375, 24499465, 20864030, 20711585, 23660942, 24757675, 23463798, 20213048, 24757675, 22996375, 21503572, 23485710, 24436191, 16441420, 24658096, 24183851, 17006932, 17006932, 21678027, 16878148, 22493738, 24757675, 24373479, 24817925, 22996375, 24468535, 19690017, 20937273, 24757675, 24667321, 22996375, 23243023, 24499465, 24817925, 20149803, 21550244, 12970751, 21903344, 22088988, 12970751, 22817756, 20951849, 22996375, 22996375, 24373479, 22996375, 22928560, 23791884, 24469926, 24721780, 22996375, 24499465, 25772239, 25600645, 25369863, 25035150, 27184657, 27250026, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27633334, 27470562, 27470544, 27191888, 27191262, 27725873, 27709553, 27696303, 27658300, 27655020, 27649655, 27587362, 27586393, 27584791, 27565324, 27564100, 27527868, 27524242, 27510783, 27486823, 27466303, 27458156, 27446438, 27431200, 27420766, 27371730, 27362960, 27353727, 27338628, 27313681, 27294002, 27259812, 27227769, 27197265, 27172249, 27165481, 27134488, 27060060, 27043545, 27021022, 27019196, 27015363, 26998053, 26998053, 26998053, 26964565, 26946307, 26938295, 26935028, 26926567, 26918449, 26917489, 26909935, 26887056, 26884862, 26871474, 26854446, 26848980, 26848616, 26798987, 26729200, 26722461, 26701265, 26697839, 26676637, 26649728, 26619802, 26617828, 26614531, 26575981, 26522444, 26516927, 26493997, 26482776, 26476026, 26461224, 26406400, 26400521, 26352013, 26311052, 26282502, 26275461, 26265046, 26254614, 26254614, 26254614, 26242259, 26241674, 26191181, 26139386, 26137228, 25811929, 25787249, 25773124, 25772239, 25613496, 25613066, 25600645, 25592968, 27600237, 25546229, 25538231, 25526029, 25481511, 25480417, 25446987, 25431257, 25369863, 25356875, 25269958, 25217850, 25187517, 25085246, 25036876, 25031737, 25025966, 24932303, 24926466, 24918046, 24892958, 24876753, 24857172, 24815433, 24757675, 24742640, 24658096, 24525122, 24512851, 24449823, 24436191, 24396870, 24313945, 24244343, 23845456, 23726266, 23688988, 23243023, 23153939, 22722759]",Carcinogenesis
49,NR_002819,"[24583225, 24373479, 24006935, 22492512, 22996375, 24499465, 20864030, 20711585, 23660942, 24757675, 23463798, 20213048, 24757675, 22996375, 21503572, 23485710, 24436191, 16441420, 24658096, 24183851, 17006932, 17006932, 21678027, 16878148, 22493738, 24757675, 24373479, 24817925, 22996375, 24468535, 19690017, 20937273, 24757675, 24667321, 22996375, 23243023, 24499465, 24817925, 20149803, 21550244, 12970751, 21903344, 22088988, 12970751, 22817756, 20951849, 22996375, 22996375, 24373479, 22996375, 22928560, 23791884, 24469926, 24721780, 22996375, 24499465, 25772239, 25600645, 25369863, 25035150, 27184657, 27250026, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27633334, 27470562, 27470544, 27191888, 27191262, 27725873, 27709553, 27696303, 27658300, 27655020, 27649655, 27587362, 27586393, 27584791, 27565324, 27564100, 27527868, 27524242, 27510783, 27486823, 27466303, 27458156, 27446438, 27431200, 27420766, 27371730, 27362960, 27353727, 27338628, 27313681, 27294002, 27259812, 27227769, 27197265, 27172249, 27165481, 27134488, 27060060, 27043545, 27021022, 27019196, 27015363, 26998053, 26998053, 26998053, 26964565, 26946307, 26938295, 26935028, 26926567, 26918449, 26917489, 26909935, 26887056, 26884862, 26871474, 26854446, 26848980, 26848616, 26798987, 26729200, 26722461, 26701265, 26697839, 26676637, 26649728, 26619802, 26617828, 26614531, 26575981, 26522444, 26516927, 26493997, 26482776, 26476026, 26461224, 26406400, 26400521, 26352013, 26311052, 26282502, 26275461, 26265046, 26254614, 26254614, 26254614, 26242259, 26241674, 26191181, 26139386, 26137228, 25811929, 25787249, 25773124, 25772239, 25613496, 25613066, 25600645, 25592968, 27600237, 25546229, 25538231, 25526029, 25481511, 25480417, 25446987, 25431257, 25369863, 25356875, 25269958, 25217850, 25187517, 25085246, 25036876, 25031737, 25025966, 24932303, 24926466, 24918046, 24892958, 24876753, 24857172, 24815433, 24757675, 24742640, 24658096, 24525122, 24512851, 24449823, 24436191, 24396870, 24313945, 24244343, 23845456, 23726266, 23688988, 23243023, 23153939, 22722759]",Neoplasm Invasiveness
49,NR_002819,"[24583225, 24373479, 24006935, 22492512, 22996375, 24499465, 20864030, 20711585, 23660942, 24757675, 23463798, 20213048, 24757675, 22996375, 21503572, 23485710, 24436191, 16441420, 24658096, 24183851, 17006932, 17006932, 21678027, 16878148, 22493738, 24757675, 24373479, 24817925, 22996375, 24468535, 19690017, 20937273, 24757675, 24667321, 22996375, 23243023, 24499465, 24817925, 20149803, 21550244, 12970751, 21903344, 22088988, 12970751, 22817756, 20951849, 22996375, 22996375, 24373479, 22996375, 22928560, 23791884, 24469926, 24721780, 22996375, 24499465, 25772239, 25600645, 25369863, 25035150, 27184657, 27250026, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27633334, 27470562, 27470544, 27191888, 27191262, 27725873, 27709553, 27696303, 27658300, 27655020, 27649655, 27587362, 27586393, 27584791, 27565324, 27564100, 27527868, 27524242, 27510783, 27486823, 27466303, 27458156, 27446438, 27431200, 27420766, 27371730, 27362960, 27353727, 27338628, 27313681, 27294002, 27259812, 27227769, 27197265, 27172249, 27165481, 27134488, 27060060, 27043545, 27021022, 27019196, 27015363, 26998053, 26998053, 26998053, 26964565, 26946307, 26938295, 26935028, 26926567, 26918449, 26917489, 26909935, 26887056, 26884862, 26871474, 26854446, 26848980, 26848616, 26798987, 26729200, 26722461, 26701265, 26697839, 26676637, 26649728, 26619802, 26617828, 26614531, 26575981, 26522444, 26516927, 26493997, 26482776, 26476026, 26461224, 26406400, 26400521, 26352013, 26311052, 26282502, 26275461, 26265046, 26254614, 26254614, 26254614, 26242259, 26241674, 26191181, 26139386, 26137228, 25811929, 25787249, 25773124, 25772239, 25613496, 25613066, 25600645, 25592968, 27600237, 25546229, 25538231, 25526029, 25481511, 25480417, 25446987, 25431257, 25369863, 25356875, 25269958, 25217850, 25187517, 25085246, 25036876, 25031737, 25025966, 24932303, 24926466, 24918046, 24892958, 24876753, 24857172, 24815433, 24757675, 24742640, 24658096, 24525122, 24512851, 24449823, 24436191, 24396870, 24313945, 24244343, 23845456, 23726266, 23688988, 23243023, 23153939, 22722759]",Neoplasm Metastasis
49,NR_002819,"[24583225, 24373479, 24006935, 22492512, 22996375, 24499465, 20864030, 20711585, 23660942, 24757675, 23463798, 20213048, 24757675, 22996375, 21503572, 23485710, 24436191, 16441420, 24658096, 24183851, 17006932, 17006932, 21678027, 16878148, 22493738, 24757675, 24373479, 24817925, 22996375, 24468535, 19690017, 20937273, 24757675, 24667321, 22996375, 23243023, 24499465, 24817925, 20149803, 21550244, 12970751, 21903344, 22088988, 12970751, 22817756, 20951849, 22996375, 22996375, 24373479, 22996375, 22928560, 23791884, 24469926, 24721780, 22996375, 24499465, 25772239, 25600645, 25369863, 25035150, 27184657, 27250026, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27633334, 27470562, 27470544, 27191888, 27191262, 27725873, 27709553, 27696303, 27658300, 27655020, 27649655, 27587362, 27586393, 27584791, 27565324, 27564100, 27527868, 27524242, 27510783, 27486823, 27466303, 27458156, 27446438, 27431200, 27420766, 27371730, 27362960, 27353727, 27338628, 27313681, 27294002, 27259812, 27227769, 27197265, 27172249, 27165481, 27134488, 27060060, 27043545, 27021022, 27019196, 27015363, 26998053, 26998053, 26998053, 26964565, 26946307, 26938295, 26935028, 26926567, 26918449, 26917489, 26909935, 26887056, 26884862, 26871474, 26854446, 26848980, 26848616, 26798987, 26729200, 26722461, 26701265, 26697839, 26676637, 26649728, 26619802, 26617828, 26614531, 26575981, 26522444, 26516927, 26493997, 26482776, 26476026, 26461224, 26406400, 26400521, 26352013, 26311052, 26282502, 26275461, 26265046, 26254614, 26254614, 26254614, 26242259, 26241674, 26191181, 26139386, 26137228, 25811929, 25787249, 25773124, 25772239, 25613496, 25613066, 25600645, 25592968, 27600237, 25546229, 25538231, 25526029, 25481511, 25480417, 25446987, 25431257, 25369863, 25356875, 25269958, 25217850, 25187517, 25085246, 25036876, 25031737, 25025966, 24932303, 24926466, 24918046, 24892958, 24876753, 24857172, 24815433, 24757675, 24742640, 24658096, 24525122, 24512851, 24449823, 24436191, 24396870, 24313945, 24244343, 23845456, 23726266, 23688988, 23243023, 23153939, 22722759]",Skin Neoplasms
49,NR_002819,"[24583225, 24373479, 24006935, 22492512, 22996375, 24499465, 20864030, 20711585, 23660942, 24757675, 23463798, 20213048, 24757675, 22996375, 21503572, 23485710, 24436191, 16441420, 24658096, 24183851, 17006932, 17006932, 21678027, 16878148, 22493738, 24757675, 24373479, 24817925, 22996375, 24468535, 19690017, 20937273, 24757675, 24667321, 22996375, 23243023, 24499465, 24817925, 20149803, 21550244, 12970751, 21903344, 22088988, 12970751, 22817756, 20951849, 22996375, 22996375, 24373479, 22996375, 22928560, 23791884, 24469926, 24721780, 22996375, 24499465, 25772239, 25600645, 25369863, 25035150, 27184657, 27250026, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27633334, 27470562, 27470544, 27191888, 27191262, 27725873, 27709553, 27696303, 27658300, 27655020, 27649655, 27587362, 27586393, 27584791, 27565324, 27564100, 27527868, 27524242, 27510783, 27486823, 27466303, 27458156, 27446438, 27431200, 27420766, 27371730, 27362960, 27353727, 27338628, 27313681, 27294002, 27259812, 27227769, 27197265, 27172249, 27165481, 27134488, 27060060, 27043545, 27021022, 27019196, 27015363, 26998053, 26998053, 26998053, 26964565, 26946307, 26938295, 26935028, 26926567, 26918449, 26917489, 26909935, 26887056, 26884862, 26871474, 26854446, 26848980, 26848616, 26798987, 26729200, 26722461, 26701265, 26697839, 26676637, 26649728, 26619802, 26617828, 26614531, 26575981, 26522444, 26516927, 26493997, 26482776, 26476026, 26461224, 26406400, 26400521, 26352013, 26311052, 26282502, 26275461, 26265046, 26254614, 26254614, 26254614, 26242259, 26241674, 26191181, 26139386, 26137228, 25811929, 25787249, 25773124, 25772239, 25613496, 25613066, 25600645, 25592968, 27600237, 25546229, 25538231, 25526029, 25481511, 25480417, 25446987, 25431257, 25369863, 25356875, 25269958, 25217850, 25187517, 25085246, 25036876, 25031737, 25025966, 24932303, 24926466, 24918046, 24892958, 24876753, 24857172, 24815433, 24757675, 24742640, 24658096, 24525122, 24512851, 24449823, 24436191, 24396870, 24313945, 24244343, 23845456, 23726266, 23688988, 23243023, 23153939, 22722759]",Brain Neoplasms
49,NR_002819,"[24583225, 24373479, 24006935, 22492512, 22996375, 24499465, 20864030, 20711585, 23660942, 24757675, 23463798, 20213048, 24757675, 22996375, 21503572, 23485710, 24436191, 16441420, 24658096, 24183851, 17006932, 17006932, 21678027, 16878148, 22493738, 24757675, 24373479, 24817925, 22996375, 24468535, 19690017, 20937273, 24757675, 24667321, 22996375, 23243023, 24499465, 24817925, 20149803, 21550244, 12970751, 21903344, 22088988, 12970751, 22817756, 20951849, 22996375, 22996375, 24373479, 22996375, 22928560, 23791884, 24469926, 24721780, 22996375, 24499465, 25772239, 25600645, 25369863, 25035150, 27184657, 27250026, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27633334, 27470562, 27470544, 27191888, 27191262, 27725873, 27709553, 27696303, 27658300, 27655020, 27649655, 27587362, 27586393, 27584791, 27565324, 27564100, 27527868, 27524242, 27510783, 27486823, 27466303, 27458156, 27446438, 27431200, 27420766, 27371730, 27362960, 27353727, 27338628, 27313681, 27294002, 27259812, 27227769, 27197265, 27172249, 27165481, 27134488, 27060060, 27043545, 27021022, 27019196, 27015363, 26998053, 26998053, 26998053, 26964565, 26946307, 26938295, 26935028, 26926567, 26918449, 26917489, 26909935, 26887056, 26884862, 26871474, 26854446, 26848980, 26848616, 26798987, 26729200, 26722461, 26701265, 26697839, 26676637, 26649728, 26619802, 26617828, 26614531, 26575981, 26522444, 26516927, 26493997, 26482776, 26476026, 26461224, 26406400, 26400521, 26352013, 26311052, 26282502, 26275461, 26265046, 26254614, 26254614, 26254614, 26242259, 26241674, 26191181, 26139386, 26137228, 25811929, 25787249, 25773124, 25772239, 25613496, 25613066, 25600645, 25592968, 27600237, 25546229, 25538231, 25526029, 25481511, 25480417, 25446987, 25431257, 25369863, 25356875, 25269958, 25217850, 25187517, 25085246, 25036876, 25031737, 25025966, 24932303, 24926466, 24918046, 24892958, 24876753, 24857172, 24815433, 24757675, 24742640, 24658096, 24525122, 24512851, 24449823, 24436191, 24396870, 24313945, 24244343, 23845456, 23726266, 23688988, 23243023, 23153939, 22722759]",Glioblastoma
49,NR_002819,"[24583225, 24373479, 24006935, 22492512, 22996375, 24499465, 20864030, 20711585, 23660942, 24757675, 23463798, 20213048, 24757675, 22996375, 21503572, 23485710, 24436191, 16441420, 24658096, 24183851, 17006932, 17006932, 21678027, 16878148, 22493738, 24757675, 24373479, 24817925, 22996375, 24468535, 19690017, 20937273, 24757675, 24667321, 22996375, 23243023, 24499465, 24817925, 20149803, 21550244, 12970751, 21903344, 22088988, 12970751, 22817756, 20951849, 22996375, 22996375, 24373479, 22996375, 22928560, 23791884, 24469926, 24721780, 22996375, 24499465, 25772239, 25600645, 25369863, 25035150, 27184657, 27250026, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27633334, 27470562, 27470544, 27191888, 27191262, 27725873, 27709553, 27696303, 27658300, 27655020, 27649655, 27587362, 27586393, 27584791, 27565324, 27564100, 27527868, 27524242, 27510783, 27486823, 27466303, 27458156, 27446438, 27431200, 27420766, 27371730, 27362960, 27353727, 27338628, 27313681, 27294002, 27259812, 27227769, 27197265, 27172249, 27165481, 27134488, 27060060, 27043545, 27021022, 27019196, 27015363, 26998053, 26998053, 26998053, 26964565, 26946307, 26938295, 26935028, 26926567, 26918449, 26917489, 26909935, 26887056, 26884862, 26871474, 26854446, 26848980, 26848616, 26798987, 26729200, 26722461, 26701265, 26697839, 26676637, 26649728, 26619802, 26617828, 26614531, 26575981, 26522444, 26516927, 26493997, 26482776, 26476026, 26461224, 26406400, 26400521, 26352013, 26311052, 26282502, 26275461, 26265046, 26254614, 26254614, 26254614, 26242259, 26241674, 26191181, 26139386, 26137228, 25811929, 25787249, 25773124, 25772239, 25613496, 25613066, 25600645, 25592968, 27600237, 25546229, 25538231, 25526029, 25481511, 25480417, 25446987, 25431257, 25369863, 25356875, 25269958, 25217850, 25187517, 25085246, 25036876, 25031737, 25025966, 24932303, 24926466, 24918046, 24892958, 24876753, 24857172, 24815433, 24757675, 24742640, 24658096, 24525122, 24512851, 24449823, 24436191, 24396870, 24313945, 24244343, 23845456, 23726266, 23688988, 23243023, 23153939, 22722759]","Carcinoma, Renal Cell"
49,NR_002819,"[24583225, 24373479, 24006935, 22492512, 22996375, 24499465, 20864030, 20711585, 23660942, 24757675, 23463798, 20213048, 24757675, 22996375, 21503572, 23485710, 24436191, 16441420, 24658096, 24183851, 17006932, 17006932, 21678027, 16878148, 22493738, 24757675, 24373479, 24817925, 22996375, 24468535, 19690017, 20937273, 24757675, 24667321, 22996375, 23243023, 24499465, 24817925, 20149803, 21550244, 12970751, 21903344, 22088988, 12970751, 22817756, 20951849, 22996375, 22996375, 24373479, 22996375, 22928560, 23791884, 24469926, 24721780, 22996375, 24499465, 25772239, 25600645, 25369863, 25035150, 27184657, 27250026, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27633334, 27470562, 27470544, 27191888, 27191262, 27725873, 27709553, 27696303, 27658300, 27655020, 27649655, 27587362, 27586393, 27584791, 27565324, 27564100, 27527868, 27524242, 27510783, 27486823, 27466303, 27458156, 27446438, 27431200, 27420766, 27371730, 27362960, 27353727, 27338628, 27313681, 27294002, 27259812, 27227769, 27197265, 27172249, 27165481, 27134488, 27060060, 27043545, 27021022, 27019196, 27015363, 26998053, 26998053, 26998053, 26964565, 26946307, 26938295, 26935028, 26926567, 26918449, 26917489, 26909935, 26887056, 26884862, 26871474, 26854446, 26848980, 26848616, 26798987, 26729200, 26722461, 26701265, 26697839, 26676637, 26649728, 26619802, 26617828, 26614531, 26575981, 26522444, 26516927, 26493997, 26482776, 26476026, 26461224, 26406400, 26400521, 26352013, 26311052, 26282502, 26275461, 26265046, 26254614, 26254614, 26254614, 26242259, 26241674, 26191181, 26139386, 26137228, 25811929, 25787249, 25773124, 25772239, 25613496, 25613066, 25600645, 25592968, 27600237, 25546229, 25538231, 25526029, 25481511, 25480417, 25446987, 25431257, 25369863, 25356875, 25269958, 25217850, 25187517, 25085246, 25036876, 25031737, 25025966, 24932303, 24926466, 24918046, 24892958, 24876753, 24857172, 24815433, 24757675, 24742640, 24658096, 24525122, 24512851, 24449823, 24436191, 24396870, 24313945, 24244343, 23845456, 23726266, 23688988, 23243023, 23153939, 22722759]",Kidney Neoplasms
49,NR_002819,"[24583225, 24373479, 24006935, 22492512, 22996375, 24499465, 20864030, 20711585, 23660942, 24757675, 23463798, 20213048, 24757675, 22996375, 21503572, 23485710, 24436191, 16441420, 24658096, 24183851, 17006932, 17006932, 21678027, 16878148, 22493738, 24757675, 24373479, 24817925, 22996375, 24468535, 19690017, 20937273, 24757675, 24667321, 22996375, 23243023, 24499465, 24817925, 20149803, 21550244, 12970751, 21903344, 22088988, 12970751, 22817756, 20951849, 22996375, 22996375, 24373479, 22996375, 22928560, 23791884, 24469926, 24721780, 22996375, 24499465, 25772239, 25600645, 25369863, 25035150, 27184657, 27250026, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27777857, 27633334, 27470562, 27470544, 27191888, 27191262, 27725873, 27709553, 27696303, 27658300, 27655020, 27649655, 27587362, 27586393, 27584791, 27565324, 27564100, 27527868, 27524242, 27510783, 27486823, 27466303, 27458156, 27446438, 27431200, 27420766, 27371730, 27362960, 27353727, 27338628, 27313681, 27294002, 27259812, 27227769, 27197265, 27172249, 27165481, 27134488, 27060060, 27043545, 27021022, 27019196, 27015363, 26998053, 26998053, 26998053, 26964565, 26946307, 26938295, 26935028, 26926567, 26918449, 26917489, 26909935, 26887056, 26884862, 26871474, 26854446, 26848980, 26848616, 26798987, 26729200, 26722461, 26701265, 26697839, 26676637, 26649728, 26619802, 26617828, 26614531, 26575981, 26522444, 26516927, 26493997, 26482776, 26476026, 26461224, 26406400, 26400521, 26352013, 26311052, 26282502, 26275461, 26265046, 26254614, 26254614, 26254614, 26242259, 26241674, 26191181, 26139386, 26137228, 25811929, 25787249, 25773124, 25772239, 25613496, 25613066, 25600645, 25592968, 27600237, 25546229, 25538231, 25526029, 25481511, 25480417, 25446987, 25431257, 25369863, 25356875, 25269958, 25217850, 25187517, 25085246, 25036876, 25031737, 25025966, 24932303, 24926466, 24918046, 24892958, 24876753, 24857172, 24815433, 24757675, 24742640, 24658096, 24525122, 24512851, 24449823, 24436191, 24396870, 24313945, 24244343, 23845456, 23726266, 23688988, 23243023, 23153939, 22722759]",Neoplasm Invasiveness
