experiment,version,source_version,target_version,feature_set,feature_key,model,n_samples,n_features,n_labels,performance_csv,prediction_dir,hamming_meanstd,hamming_mean,hamming_std,label_ranking_meanstd,label_ranking_mean,label_ranking_std,micro_roc_meanstd,micro_roc_mean,micro_roc_std,micro_auprc_meanstd,micro_auprc_mean,micro_auprc_std,precision_meanstd,precision_mean,precision_std,recall_meanstd,recall_mean,recall_std,fscore_meanstd,fscore_mean,fscore_std,accuracy_meanstd,accuracy_mean,accuracy_std
within_v1_cv,v1,v1,v1,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rf,353,136,45,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v1_rc_kmer_matrix_k4_rf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v1_rc_kmer_matrix_k4/rf,0.1598148148148148(0.031195323533482942),0.1598148148148148,0.031195323533482942,0.518673352651392(0.0600992234862554),0.518673352651392,0.0600992234862554,0.6656639920204007(0.04004508177775792),0.6656639920204007,0.04004508177775792,0.09964919245688963(0.029257808524439807),0.09964919245688963,0.029257808524439807,0.1495573390889406(0.020123448606164978),0.1495573390889406,0.020123448606164978,0.4898213665775226(0.13324435468627482),0.4898213665775226,0.13324435468627482,0.22676125377585593(0.0314531059431776),0.22676125377585593,0.0314531059431776,0.002857142857142857(0.00857142857142857),0.002857142857142857,0.00857142857142857
within_v1_cv,v1,v1,v1,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rflda,353,136,45,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v1_rc_kmer_matrix_k4_rflda_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v1_rc_kmer_matrix_k4/rflda,0.1352363315696649(0.027652715249156065),0.1352363315696649,0.027652715249156065,0.5138397592511477(0.05887948879937664),0.5138397592511477,0.05887948879937664,0.6702544163857149(0.040883142954161386),0.6702544163857149,0.040883142954161386,0.11167330917238734(0.042754819276034264),0.11167330917238734,0.042754819276034264,0.16976575602640648(0.03369127006382671),0.16976575602640648,0.03369127006382671,0.45437469966734756(0.12144515420049813),0.45437469966734756,0.12144515420049813,0.2437053830467765(0.04482127144631305),0.2437053830467765,0.04482127144631305,0.017063492063492065(0.01890572145819554),0.017063492063492065,0.01890572145819554
within_v2_cv,v2,v2,v2,kmer_matrix_k4,kmer_matrix_k4,ipcarf,4114,256,124,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v2_kmer_matrix_k4_ipcarf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v2_kmer_matrix_k4/ipcarf,0.13430202618771747(0.02295577445215117),0.13430202618771747,0.02295577445215117,0.4527663957251004(0.03381219355327585),0.4527663957251004,0.03381219355327585,0.8277769021700078(0.0138053940359858),0.8277769021700078,0.0138053940359858,0.11756023816400536(0.01218928277874146),0.11756023816400536,0.01218928277874146,0.06829235059952277(0.008905837992970744),0.06829235059952277,0.008905837992970744,0.5720107235029698(0.05096099334870584),0.5720107235029698,0.05096099334870584,0.12158464083893517(0.013629695691193022),0.12158464083893517,0.013629695691193022,0.00926530543992517(0.006326843075710787),0.00926530543992517,0.006326843075710787
within_v2_cv,v2,v2,v2,kmer_matrix_k4,kmer_matrix_k4,rf,4114,256,124,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v2_kmer_matrix_k4_rf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v2_kmer_matrix_k4/rf,0.12437603497766048(0.01913139341982193),0.12437603497766048,0.01913139341982193,0.45837892239826444(0.04273985832123046),0.45837892239826444,0.04273985832123046,0.8192612603700032(0.01440588742622737),0.8192612603700032,0.01440588742622737,0.11372429832224062(0.012190892857949552),0.11372429832224062,0.012190892857949552,0.06920830975616123(0.006616773426335743),0.06920830975616123,0.006616773426335743,0.5384870652611532(0.07081868030637532),0.5384870652611532,0.07081868030637532,0.12224522488608706(0.010052029820695916),0.12224522488608706,0.010052029820695916,0.008073287543101784(0.0065207342879623),0.008073287543101784,0.0065207342879623
within_v2_cv,v2,v2,v2,kmer_matrix_k4,kmer_matrix_k4,rflda,4114,256,124,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v2_kmer_matrix_k4_rflda_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v2_kmer_matrix_k4/rflda,0.11912343898304947(0.01792502583180645),0.11912343898304947,0.01792502583180645,0.456475270121418(0.043660912798039915),0.456475270121418,0.043660912798039915,0.8191633071839342(0.011541725537525676),0.8191633071839342,0.011541725537525676,0.11421014789199616(0.012518440293435072),0.11421014789199616,0.012518440293435072,0.07157085920272374(0.005643973926742405),0.07157085920272374,0.005643973926742405,0.5344472361693894(0.06340240960506804),0.5344472361693894,0.06340240960506804,0.12597368322154534(0.008869114846042499),0.12597368322154534,0.008869114846042499,0.007819834329122255(0.0051555526701625165),0.007819834329122255,0.0051555526701625165
within_v2_cv,v2,v2,v2,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,ipcarf,4114,410,124,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v2_kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_ipcarf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v2_kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix/ipcarf,0.13076461978358941(0.017482696761004637),0.13076461978358941,0.017482696761004637,0.4617014701587407(0.03660185920344042),0.4617014701587407,0.03660185920344042,0.8278811216143576(0.008412000856677919),0.8278811216143576,0.008412000856677919,0.11850945232838739(0.011669571765824885),0.11850945232838739,0.011669571765824885,0.0678244992752721(0.004447744681987691),0.0678244992752721,0.004447744681987691,0.5583305679529675(0.04327528776038311),0.5583305679529675,0.04327528776038311,0.12078466068174214(0.006775917588118692),0.12078466068174214,0.006775917588118692,0.007765955682061483(0.0027734907066963915),0.007765955682061483,0.0027734907066963915
within_v2_cv,v2,v2,v2,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,rf,4114,410,124,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v2_kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v2_kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix/rf,0.11790981580676851(0.012809918460506473),0.11790981580676851,0.012809918460506473,0.45320331288988835(0.038896307105508635),0.45320331288988835,0.038896307105508635,0.8180633063370155(0.012017186013550606),0.8180633063370155,0.012017186013550606,0.11448123099210553(0.012218614171313508),0.11448123099210553,0.012218614171313508,0.0726208253727819(0.0064290511522970255),0.0726208253727819,0.0064290511522970255,0.5388185546507578(0.057506158473581856),0.5388185546507578,0.057506158473581856,0.12777998417442454(0.010287045501070475),0.12777998417442454,0.010287045501070475,0.006589068127464949(0.0045371653718365235),0.006589068127464949,0.0045371653718365235
within_v2_cv,v2,v2,v2,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,rflda,4114,410,124,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v2_kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rflda_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v2_kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix/rflda,0.11717672506074214(0.02197135702482654),0.11717672506074214,0.02197135702482654,0.4559937275667707(0.03578351422638468),0.4559937275667707,0.03578351422638468,0.8186448327716528(0.013463786409090427),0.8186448327716528,0.013463786409090427,0.11516472204678599(0.013983775759826664),0.11516472204678599,0.013983775759826664,0.07310754723092418(0.008670177507120713),0.07310754723092418,0.008670177507120713,0.5305657472159058(0.06670636606374564),0.5305657472159058,0.06670636606374564,0.12796234274662127(0.0126143798877288),0.12796234274662127,0.0126143798877288,0.008060355951222824(0.0053801335280501215),0.008060355951222824,0.0053801335280501215
within_v2_cv,v2,v2,v2,psednc_matrix,psednc_matrix,ipcarf,4114,18,124,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v2_psednc_matrix_ipcarf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v2_psednc_matrix/ipcarf,0.03774911809954027(0.00252393968243492),0.03774911809954027,0.00252393968243492,0.7245842409540126(0.0591300999577536),0.7245842409540126,0.0591300999577536,0.6272658510749339(0.0071386280488993535),0.6272658510749339,0.0071386280488993535,0.04104740366625981(0.004333108505040751),0.04104740366625981,0.004333108505040751,0.10766905649599497(0.01366146865883759),0.10766905649599497,0.01366146865883759,0.18826081731680372(0.03645519653847558),0.18826081731680372,0.03645519653847558,0.13664545914766626(0.020054509314978076),0.13664545914766626,0.020054509314978076,0.023764002119938316(0.008394331515838321),0.023764002119938316,0.008394331515838321
within_v2_cv,v2,v2,v2,psednc_matrix,psednc_matrix,rf,4114,18,124,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v2_psednc_matrix_rf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v2_psednc_matrix/rf,0.03765083221543898(0.00249240308569819),0.03765083221543898,0.00249240308569819,0.720330884099688(0.050187932789775375),0.720330884099688,0.050187932789775375,0.6280807494398776(0.006899961086228433),0.6280807494398776,0.006899961086228433,0.04143086794034982(0.004386153852043934),0.04143086794034982,0.004386153852043934,0.11018191179342296(0.011828224526973824),0.11018191179342296,0.011828224526973824,0.19178959213767682(0.028111994245680626),0.19178959213767682,0.028111994245680626,0.13965346121586233(0.015876660037545082),0.13965346121586233,0.015876660037545082,0.025737310583016603(0.010063279923528427),0.025737310583016603,0.010063279923528427
within_v2_cv,v2,v2,v2,psednc_matrix,psednc_matrix,rflda,4114,18,124,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v2_psednc_matrix_rflda_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v2_psednc_matrix/rflda,0.03793862362430426(0.0027987446618814305),0.03793862362430426,0.0027987446618814305,0.7203946818267808(0.051914453813102876),0.7203946818267808,0.051914453813102876,0.6294543303913317(0.007888999891963767),0.6294543303913317,0.007888999891963767,0.0415077646385113(0.004541780645687896),0.0415077646385113,0.004541780645687896,0.10942595981943881(0.010350797794984885),0.10942595981943881,0.010350797794984885,0.19331537812742844(0.03302980716657651),0.19331537812742844,0.03302980716657651,0.13933856132228703(0.015885731438215093),0.13933856132228703,0.015885731438215093,0.026213431750011368(0.011719306378042249),0.026213431750011368,0.011719306378042249
within_v2_cv,v2,v2,v2,rc_kmer_matrix_k4,rc_kmer_matrix_k4,ipcarf,4114,136,124,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v2_rc_kmer_matrix_k4_ipcarf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v2_rc_kmer_matrix_k4/ipcarf,0.13335304377858026(0.023038024577315682),0.13335304377858026,0.023038024577315682,0.4536108784128247(0.042252702503872135),0.4536108784128247,0.042252702503872135,0.824429436204745(0.010425868277763314),0.824429436204745,0.010425868277763314,0.11392023141508081(0.013061472082126806),0.11392023141508081,0.013061472082126806,0.06715618866142099(0.007808249415598333),0.06715618866142099,0.007808249415598333,0.5587614735603272(0.06381480749506452),0.5587614735603272,0.06381480749506452,0.1194678001707922(0.011836973310012799),0.1194678001707922,0.011836973310012799,0.007580682638732174(0.0041948397956766866),0.007580682638732174,0.0041948397956766866
within_v2_cv,v2,v2,v2,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rf,4114,136,124,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v2_rc_kmer_matrix_k4_rf_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v2_rc_kmer_matrix_k4/rf,0.11467666990466292(0.015892459073075405),0.11467666990466292,0.015892459073075405,0.446707575829565(0.03848395902971243),0.446707575829565,0.03848395902971243,0.8151894575658115(0.011179795776563762),0.8151894575658115,0.011179795776563762,0.11003585588032783(0.013670341445806979),0.11003585588032783,0.013670341445806979,0.07399338692711027(0.006447050772850238),0.07399338692711027,0.006447050772850238,0.532965282868078(0.06659992242503762),0.532965282868078,0.06659992242503762,0.1297286033237762(0.010746814257232031),0.1297286033237762,0.010746814257232031,0.0070910887667853615(0.005219096569148073),0.0070910887667853615,0.005219096569148073
within_v2_cv,v2,v2,v2,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rflda,4114,136,124,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/performance/v2_rc_kmer_matrix_k4_rflda_performance.csv,/data/r0865750/lncrna-disease-prediction/results/within_version_cv/predictions/v2_rc_kmer_matrix_k4/rflda,0.11162987977830448(0.02039809088360763),0.11162987977830448,0.02039809088360763,0.46361878290323116(0.047600706395903976),0.46361878290323116,0.047600706395903976,0.8119239366551072(0.012032350067507922),0.8119239366551072,0.012032350067507922,0.10971159263486178(0.014429527674925311),0.10971159263486178,0.014429527674925311,0.07412613693844208(0.009040826566050963),0.07412613693844208,0.009040826566050963,0.5099537913184993(0.060446163063645746),0.5099537913184993,0.060446163063645746,0.1289510797316627(0.013468763965570212),0.1289510797316627,0.013468763965570212,0.007588352847640774(0.006830044382178158),0.007588352847640774,0.006830044382178158
