folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.04214285714285714,0.24082596601393597,0.5877629112869637,0.027712267787653053,0.13953488372093023,0.21428571428571427,0.16901408450704225,0.2857142857142857
fold2,0.039285714285714285,0.1748193248193248,0.7682411927694948,0.056699656756289046,0.21052631578947367,0.5454545454545454,0.3037974683544304,0.37142857142857144
fold3,0.09357142857142857,0.1947520623106647,0.6468533354913545,0.028196802607005203,0.09375,0.4444444444444444,0.15483870967741936,0.17142857142857143
fold4,0.027857142857142858,0.258627337574706,0.615953351880788,0.01864193487246436,0.14285714285714285,0.21052631578947367,0.1702127659574468,0.34285714285714286
fold5,0.03263888888888889,0.21078093446514495,0.597598388241489,0.0807840349055876,0.2777777777777778,0.3225806451612903,0.29850746268656714,0.4444444444444444
fold6,0.04791666666666667,0.1263401559454191,0.7697877699174045,0.05604627977374234,0.17105263157894737,0.6842105263157895,0.2736842105263158,0.2222222222222222
fold7,0.03428571428571429,0.1048111442848285,0.7974671117219714,0.04410553140128682,0.13725490196078433,0.6363636363636364,0.22580645161290322,0.2571428571428571
fold8,0.09097222222222222,0.16096294611919612,0.6716030959125859,0.03934223554478605,0.11851851851851852,0.5714285714285714,0.19631901840490798,0.16666666666666666
fold9,0.08785714285714286,0.17493824705995759,0.809294403892944,0.07885800853069301,0.16058394160583941,0.7333333333333333,0.2634730538922156,0.2
fold10,0.037142857142857144,0.24432234432234431,0.4975140566430654,0.025558983892533423,0.125,0.14285714285714285,0.13333333333333333,0.42857142857142855
mean(std),0.05336706349206349(0.025063548373555768),0.1891180462915522(0.048270834847024366),0.6762075617758061(0.10004503947960129),0.045594573607204085(0.020902041020045007),0.15768561138094142(0.05005823114872938),0.45054848754339416(0.20426193330939557),0.2188986558952582(0.059477012009507585),0.289047619047619(0.0977407938713213)
