folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.07357142857142857,0.1941872799015656,0.668731778425656,0.034200633583703774,0.0967741935483871,0.32142857142857145,0.1487603305785124,0.11428571428571428
fold2,0.05285714285714286,0.1438231102704787,0.7507916611690196,0.077839365695626,0.175,0.6363636363636364,0.27450980392156865,0.08571428571428572
fold3,0.07428571428571429,0.2098204022131488,0.6774837474036308,0.04132481020215813,0.1262135922330097,0.48148148148148145,0.2,0.2
fold4,0.052142857142857144,0.1987179487179487,0.6497008270132245,0.020359219797775305,0.09090909090909091,0.3157894736842105,0.1411764705882353,0.2
fold5,0.07152777777777777,0.181906462608217,0.6981844822454727,0.06224405953218072,0.16037735849056603,0.5483870967741935,0.24817518248175183,0.05555555555555555
fold6,0.050694444444444445,0.2092447330934173,0.746083188266232,0.054308631866677476,0.125,0.47368421052631576,0.1978021978021978,0.19444444444444445
fold7,0.029285714285714286,0.12578952578952576,0.7333595130571373,0.031435235500195426,0.14285714285714285,0.5454545454545454,0.22641509433962265,0.3142857142857143
fold8,0.07083333333333333,0.18801749465811965,0.6382158033184945,0.03837448124773808,0.13,0.4642857142857143,0.203125,0.19444444444444445
fold9,0.05142857142857143,0.27242143821091186,0.7625912408759123,0.1794292308122306,0.21621621621621623,0.5333333333333333,0.3076923076923077,0.17142857142857143
fold10,0.02857142857142857,0.2446982841719684,0.5295710120783008,0.05914530548152482,0.2,0.14285714285714285,0.16666666666666666,0.4857142857142857
mean(std),0.05551984126984126(0.01625342474134683),0.1968626679635302(0.04061490306433804),0.685471325385308(0.06671166530162422),0.05986609737198104(0.04299875943275673),0.14633475942544127(0.03930581710990874),0.4463065206189146(0.13819078913344368),0.21143230540708627(0.05106113176275027),0.2015873015873016(0.11696969607961466)
