folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.037142857142857144,0.29047619047619044,0.5046725322782174,0.03190476190476191,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.3142857142857143
fold2,0.03142857142857143,0.22384004884004885,0.6191779918195013,0.03580670171579263,0.19444444444444445,0.3181818181818182,0.2413793103448276,0.2571428571428571
fold3,0.041428571428571426,0.2587265528220858,0.5782957028404953,0.04238033122609633,0.13953488372093023,0.2222222222222222,0.17142857142857143,0.2571428571428571
fold4,0.020714285714285713,0.2521978021978022,0.5811959297229314,0.0378039428973215,0.2222222222222222,0.21052631578947367,0.21621621621621623,0.4857142857142857
fold5,0.03611111111111111,0.26569763082920983,0.5303692850111037,0.03197725345495744,0.1111111111111111,0.0967741935483871,0.10344827586206896,0.3611111111111111
fold6,0.022222222222222223,0.2795677762783026,0.5728175117596949,0.041998066578375105,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.5277777777777778
fold7,0.017142857142857144,0.22857142857142856,0.5565154787616992,0.009891774891774893,0.0,0.0,0.0,0.5428571428571428
fold8,0.034027777777777775,0.3038194444444444,0.49787535410764866,0.02288961038961039,0.043478260869565216,0.03571428571428571,0.0392156862745098,0.5
fold9,0.032857142857142856,0.3392857142857143,0.5224939172749392,0.03263157894736842,0.13636363636363635,0.1,0.11538461538461539,0.37142857142857144
fold10,0.03357142857142857,0.30481423338566194,0.604774052478134,0.04068999647467597,0.1935483870967742,0.21428571428571427,0.2033898305084746,0.34285714285714286
mean(std),0.03066468253968254(0.0075217479364440495),0.2746996822130889(0.03428677488941963),0.5568187756054366(0.03946044234891759),0.032797401848073456(0.009472212943078059),0.12700262540993607(0.06759402309299853),0.14270278580125778(0.09375221340485151),0.13197858142899607(0.07561147819520715),0.39603174603174607(0.10376995508203415)
