folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.041428571428571426,0.27006802721088435,0.5918237192836319,0.043817860193503255,0.14285714285714285,0.21428571428571427,0.17142857142857143,0.2
fold2,0.029285714285714286,0.2823788073788074,0.6296015305449268,0.07676041714097245,0.21212121212121213,0.3181818181818182,0.2545454545454545,0.34285714285714286
fold3,0.04642857142857143,0.17182829701626692,0.677713037144938,0.07783575522999378,0.203125,0.48148148148148145,0.2857142857142857,0.2857142857142857
fold4,0.03642857142857143,0.2320761840498682,0.5502305728114638,0.07358027868842403,0.13636363636363635,0.3157894736842105,0.19047619047619047,0.2
fold5,0.07569444444444444,0.18420898464758112,0.6980929050573501,0.10104656389315274,0.1388888888888889,0.4838709677419355,0.2158273381294964,0.1111111111111111
fold6,0.04722222222222222,0.13777834008097167,0.7296381347457312,0.06860075368300317,0.1643835616438356,0.631578947368421,0.2608695652173913,0.08333333333333333
fold7,0.03785714285714286,0.10868230868230869,0.7434387067216441,0.023889292104596546,0.09615384615384616,0.45454545454545453,0.15873015873015872,0.14285714285714285
fold8,0.07708333333333334,0.19653668091168092,0.638316976932416,0.03665778096387136,0.11214953271028037,0.42857142857142855,0.17777777777777778,0.16666666666666666
fold9,0.04357142857142857,0.2565958164642375,0.7081630170316302,0.048518819112844204,0.2459016393442623,0.5,0.32967032967032966,0.17142857142857143
fold10,0.07928571428571428,0.156481864000661,0.6438202832153269,0.05453440235235969,0.11926605504587157,0.4642857142857143,0.1897810218978102,0.05714285714285714
mean(std),0.051428571428571435(0.017683149247850156),0.19966353104432674(0.05575474125018794),0.6610838883489059(0.058512881341052224),0.06052419233627213(0.021936019800956292),0.15712105151289762(0.04606006653319256),0.4292591000146178(0.11177702819550504),0.22348206935874662(0.0536531047778831),0.17611111111111113(0.08316343224389572)
