folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.055714285714285716,0.2377289377289377,0.6313905664306539,0.048284991141933825,0.14285714285714285,0.35714285714285715,0.20408163265306123,0.02857142857142857
fold2,0.05071428571428571,0.1917838602049128,0.6874587676474468,0.07539328867569009,0.15492957746478872,0.5,0.23655913978494625,0.17142857142857143
fold3,0.045,0.18228603182163552,0.6742197404979634,0.10572066083032347,0.2,0.4444444444444444,0.27586206896551724,0.14285714285714285
fold4,0.04857142857142857,0.24032758177495017,0.6034147642821754,0.07410624073863692,0.1111111111111111,0.3684210526315789,0.17073170731707318,0.11428571428571428
fold5,0.05486111111111111,0.20087774473739384,0.6768813388584903,0.12725183737378462,0.2,0.5161290322580645,0.2882882882882883,0.25
fold6,0.03333333333333333,0.21781907582346177,0.6751361161524501,0.05775865741830072,0.14634146341463414,0.3157894736842105,0.2,0.2222222222222222
fold7,0.020714285714285713,0.1487275882012724,0.7158518227632699,0.027101551561027316,0.15384615384615385,0.36363636363636365,0.21621621621621623,0.3142857142857143
fold8,0.07361111111111111,0.18327657585470086,0.601970356131121,0.03549911487646071,0.10204081632653061,0.35714285714285715,0.15873015873015872,0.1111111111111111
fold9,0.03142857142857143,0.2910714285714286,0.7260218978102189,0.07960580579849677,0.3409090909090909,0.5,0.40540540540540543,0.2857142857142857
fold10,0.045,0.22315541601255887,0.6685625780924614,0.05810215135887691,0.16981132075471697,0.32142857142857145,0.2222222222222222,0.2571428571428571
mean(std),0.045894841269841266(0.014064581639552641),0.21170542407312526(0.03757380484725035),0.6660907948666253(0.04004841036956419),0.06888242997735314(0.029108431732111306),0.17218466766841692(0.063900784451631),0.4044134652368948(0.07384061856835564),0.2378096839582889(0.06790831313389614),0.18976190476190474(0.08621871705477838)
