folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.20998803827751197,0.27523332737256734,0.7006536805921154,0.041659362622827156,0.033428571428571426,0.4775510204081633,0.06248331108144192,0.0645933014354067
fold2,0.1480392156862745,0.30071670836433434,0.6908041897725401,0.03550835114355218,0.039356749894202285,0.3891213389121339,0.07148347425057648,0.09313725490196079
fold3,0.1824938574938575,0.2642513467941884,0.7105844620440456,0.03883467817677913,0.04161073825503356,0.5188284518828452,0.0770425598011805,0.13513513513513514
fold4,0.15761670761670762,0.2726171897741793,0.6877587475613187,0.04348990322955876,0.04502740798747063,0.47520661157024796,0.08226037195994278,0.14250614250614252
fold5,0.1734029484029484,0.27795330139590035,0.7363089184010396,0.043603770645791476,0.04723582925122463,0.574468085106383,0.08729388942774007,0.13513513513513514
fold6,0.15036855036855037,0.2500027189933773,0.712793942898014,0.061190368265728934,0.051626016260162604,0.5247933884297521,0.09400444115470022,0.12530712530712532
fold7,0.1932367149758454,0.24631568709210938,0.7084767521423219,0.038369449105609035,0.039166925707180604,0.5361702127659574,0.07300115874855156,0.10386473429951691
fold8,0.16898034398034398,0.2721720115921189,0.709230563200013,0.05532027617343027,0.046982291290206,0.5327868852459017,0.08635004981733643,0.1375921375921376
fold9,0.13267813267813267,0.24728347836065667,0.6867459094362816,0.03467637182764116,0.05199063231850117,0.4493927125506073,0.09319899244332494,0.14004914004914004
fold10,0.1675347222222222,0.2527827204363226,0.7140386094539561,0.0405279692869862,0.04041450777202073,0.5,0.07478427612655801,0.10648148148148148
mean(std),0.16843392317023947(0.02168684753615098),0.26593284901757547(0.016391061731858714),0.7057395775501647(0.014245267438053023),0.04331805004779043(0.00808937221859763),0.04368396701645736(0.005627304743364159),0.49783187068719925(0.04982451055474964),0.08019025248113529(0.009658719682232053),0.11838015878431815(0.024315952765563382)
