folds,hamming,label_ranking,micro_roc,micro_auprc,precision,recall,fscore,accuracy
fold1,0.2021531100478469,0.23881769824571938,0.714969000650336,0.03940033484548057,0.03829160530191458,0.5306122448979592,0.07142857142857142,0.05741626794258373
fold2,0.1713235294117647,0.2776376135469895,0.7237597372506706,0.0406304716566772,0.03894698882077173,0.45188284518828453,0.07171314741035857,0.061274509803921566
fold3,0.15780098280098281,0.2561613684272876,0.7048787638579905,0.03749614912586373,0.03916139240506329,0.41422594142259417,0.07155764365739067,0.06142506142506143
fold4,0.12893120393120394,0.21858576041946012,0.7218709129866154,0.043780559121357705,0.05890736342042755,0.512396694214876,0.10566680869194717,0.10073710073710074
fold5,0.13501228501228502,0.2605881538828572,0.7361268506792731,0.04368548693334518,0.051211705532693184,0.4765957446808511,0.09248554913294797,0.09336609336609336
fold6,0.17174447174447174,0.2564255516728958,0.725254921421129,0.04163950608738795,0.0416367552045944,0.4793388429752066,0.07661822985468957,0.09090909090909091
fold7,0.14021739130434782,0.24432453020766293,0.7366225929425564,0.04779040416337595,0.04768097095795405,0.46808510638297873,0.08654602675059009,0.07729468599033816
fold8,0.13716216216216215,0.25673514411028736,0.7364802145991192,0.05484389979691634,0.05463502015226153,0.5,0.0985062575696407,0.10073710073710074
fold9,0.17635135135135135,0.2665683228830956,0.721138537394155,0.04216542492365559,0.04189944134078212,0.48582995951417,0.07714561234329798,0.056511056511056514
fold10,0.15376157407407406,0.25267992785544613,0.7253762067648024,0.039676187744447464,0.03917839482693039,0.44017094017094016,0.07195249738037024,0.08333333333333333
mean(std),0.15744580618404905(0.021889484507822073),0.25285240712517015(0.015313384267714107),0.7246477738546647(0.009598844234551367),0.04311084243985077(0.004760693796649377),0.04515496379633928(0.007087509665008278),0.4759138319447861(0.032764785700438614),0.08236203442198044(0.012008225788033514),0.07830043007556806(0.017043144111433876)
